"business_id","chn_date"
"0uWnByfZNCs0MU1Ag10ujw","2012-03-14"
"0uWnByfZNCs0MU1Ag10ujw","2012-05-06"
"0uWnByfZNCs0MU1Ag10ujw","2013-09-04"
"0uWnByfZNCs0MU1Ag10ujw","2014-06-09"
"0uWnByfZNCs0MU1Ag10ujw","2014-12-30"
"0uWnByfZNCs0MU1Ag10ujw","2015-11-21"
"0uWnByfZNCs0MU1Ag10ujw","2017-01-13"
"0uWnByfZNCs0MU1Ag10ujw","2017-11-30"
"0uWnByfZNCs0MU1Ag10ujw","2018-01-21"
"0uWnByfZNCs0MU1Ag10ujw","2018-01-23"
"0uWnByfZNCs0MU1Ag10ujw","2019-02-27"
"0uWnByfZNCs0MU1Ag10ujw","2019-07-16"
"0uWnByfZNCs0MU1Ag10ujw","2019-07-25"
"0uWnByfZNCs0MU1Ag10ujw","2019-09-03"
"0uWnByfZNCs0MU1Ag10ujw","2019-09-25"
"0v5gedzRunqlbgtj3u1QCQ","2010-08-28"
"0v5gedzRunqlbgtj3u1QCQ","2010-11-16"
"0v5gedzRunqlbgtj3u1QCQ","2011-01-23"
"0v5gedzRunqlbgtj3u1QCQ","2011-03-09"
"0v5gedzRunqlbgtj3u1QCQ","2011-03-09"
"0v5gedzRunqlbgtj3u1QCQ","2011-03-19"
"0v5gedzRunqlbgtj3u1QCQ","2011-03-27"
"0v5gedzRunqlbgtj3u1QCQ","2011-03-29"
"0v5gedzRunqlbgtj3u1QCQ","2011-04-01"
"0v5gedzRunqlbgtj3u1QCQ","2011-04-08"
"0v5gedzRunqlbgtj3u1QCQ","2011-04-24"
"0v5gedzRunqlbgtj3u1QCQ","2011-04-25"
"0v5gedzRunqlbgtj3u1QCQ","2011-04-26"
"0v5gedzRunqlbgtj3u1QCQ","2011-05-03"
"0v5gedzRunqlbgtj3u1QCQ","2011-05-11"
"0v5gedzRunqlbgtj3u1QCQ","2011-05-19"
"0v5gedzRunqlbgtj3u1QCQ","2011-05-20"
"0v5gedzRunqlbgtj3u1QCQ","2011-05-27"
"0v5gedzRunqlbgtj3u1QCQ","2011-06-30"
"0v5gedzRunqlbgtj3u1QCQ","2011-07-12"
"0v5gedzRunqlbgtj3u1QCQ","2011-07-15"
"0v5gedzRunqlbgtj3u1QCQ","2011-07-19"
"0v5gedzRunqlbgtj3u1QCQ","2011-07-20"
"0v5gedzRunqlbgtj3u1QCQ","2011-07-22"
